Experiment: JFS_AA_220622_bbh  Selected Filter: SYBR Green I / HRM Dye (465-510)							
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
TRUE	255	A1	Sample 1	16.15		0	
TRUE	255	A2	Sample 2	16.11		0	
TRUE	255	A3	Sample 3	16.11		0	
TRUE	255	A4	Sample 4	16.14		0	
TRUE	255	A5	Sample 5	20.91		0	
TRUE	255	A6	Sample 6	21.15		0	
TRUE	255	A7	Sample 7	15.84		0	
TRUE	255	A8	Sample 8	15.88		0	
TRUE	255	A9	Sample 9	24.82		0	
TRUE	255	A10	Sample 10	24.7		0	
TRUE	255	A11	Sample 11	15.27		0	
TRUE	255	A12	Sample 12	15.33		0	
TRUE	255	B1	Sample 13	17.12		0	
TRUE	255	B2	Sample 14	16.45		0	
TRUE	255	B3	Sample 15	15.61		0	
TRUE	255	B4	Sample 16	15.6		0	
TRUE	255	B5	Sample 17	21.55		0	
TRUE	255	B6	Sample 18	21.48		0	
TRUE	255	B7	Sample 19	16.8		0	
TRUE	255	B8	Sample 20	16.69		0	
TRUE	255	B9	Sample 21	25.98		0	
TRUE	255	B10	Sample 22	25.81		0	
TRUE	255	B11	Sample 23	16.5		0	
TRUE	255	B12	Sample 24	16.33		0	
TRUE	255	C1	Sample 25	15.71		0	
TRUE	255	C2	Sample 26	15.68		0	
TRUE	255	C3	Sample 27	15.65		0	
TRUE	255	C4	Sample 28	15.75		0	
TRUE	255	C5	Sample 29	18.64		0	
TRUE	255	C6	Sample 30	18.7		0	
TRUE	255	C7	Sample 31	19.79		0	
TRUE	255	C8	Sample 32	19.83		0	
TRUE	255	C9	Sample 33	18.9		0	
TRUE	255	C10	Sample 34	18.85		0	
TRUE	255	C11	Sample 35	25.2		0	
TRUE	255	C12	Sample 36	24.42		0	
TRUE	255	D1	Sample 37	16.05		0	
TRUE	255	D2	Sample 38	15.75		0	
TRUE	255	D3	Sample 39	15.58		0	
TRUE	255	D4	Sample 40	15.66		0	
TRUE	255	D5	Sample 41	20.34		0	
TRUE	255	D6	Sample 42	20.49		0	
TRUE	255	D7	Sample 43	22.68		0	
TRUE	255	D8	Sample 44	19.32		0	
TRUE	255	D9	Sample 45	18.94		0	
TRUE	255	D10	Sample 46	19.69		0	
TRUE	255	D11	Sample 47	21.01		0	
TRUE	255	D12	Sample 48	21.09		0	
TRUE	255	E1	Sample 49	15.83		0	
TRUE	255	E2	Sample 50	15.66		0	
TRUE	255	E3	Sample 51	15.48		0	
TRUE	255	E4	Sample 52	15.52		0	
TRUE	255	E5	Sample 53	21.04		0	
TRUE	255	E6	Sample 54	21.05		0	
TRUE	255	E7	Sample 55	17.36		0	
TRUE	255	E8	Sample 56	17.29		0	
TRUE	255	E9	Sample 57	24.78		0	
TRUE	255	E10	Sample 58	24.84		0	
TRUE	255	E11	Sample 59	17.52		0	
TRUE	255	E12	Sample 60	17.55		0	
TRUE	255	F1	Sample 61	17.86		0	
TRUE	255	F2	Sample 62	15.51		0	
TRUE	255	F3	Sample 63	15.67		0	
TRUE	255	F4	Sample 64	15.69		0	
TRUE	255	F5	Sample 65	22.37		0	
TRUE	255	F6	Sample 66	22.81		0	
TRUE	255	F7	Sample 67	19.02		0	
TRUE	255	F8	Sample 68	19.21		0	
TRUE	65280	F9	Sample 69			0	
TRUE	255	F10	Sample 70	25.05		0	
TRUE	255	F11	Sample 71	21.15		0	
TRUE	255	F12	Sample 72	21.08		0	
TRUE	255	G1	Sample 73	16		0	
TRUE	255	G2	Sample 74	15.99		0	
TRUE	255	G3	Sample 75	17.04		0	
TRUE	255	G4	Sample 76	17		0	
TRUE	255	G5	Sample 77	21.18		0	
TRUE	255	G6	Sample 78	21.16		0	
TRUE	255	G7	Sample 79	20.37		0	
TRUE	255	G8	Sample 80	20.32		0	
TRUE	255	G9	Sample 81	25.42		0	
TRUE	255	G10	Sample 82	25.52		0	
TRUE	255	G11	Sample 83	21.68		0	
TRUE	255	G12	Sample 84	21.56		0	
TRUE	255	H1	Sample 85	14.91		0	
TRUE	255	H2	Sample 86	14.69		0	
TRUE	255	H3	Sample 87	13.68		0	
TRUE	255	H4	Sample 88	13.52		0	
TRUE	255	H5	Sample 89	21.13		0	
TRUE	255	H6	Sample 90	20.88		0	
TRUE	255	H7	Sample 91	17.64		0	
TRUE	255	H8	Sample 92	35		0	> - Late Cp call (last five cycles) has higher uncertainty
TRUE	255	H9	Sample 93	24.51		0	
TRUE	255	H10	Sample 94	17.52		0	
TRUE	255	H11	Sample 95	17.53		0	
TRUE	255	H12	Sample 96	17.22		0	
