Pos	Name	Cp				GFP				BFP				RTL			
A1	Sample 1	28.08				samples 1-8		samples 9-16		samples 1-8		samples 9-16		samples 1-8		samples 9-16	
A2	Sample 2	30.7				28.08	30.7	15.84	15.81	30.31	28.08	19.75	19.89	21.96	22.71	16.86	16.8
A3	Sample 3	15.84				32.99	30.53	16.64	16.74	19.52	19.23	20.36	20.18	17.63	17.54	17.69	17.67
A4	Sample 4	15.81				19.35	19.25	26.78	26.05	21.76	21.93	17.44	17.49	19.75	19.82	16.72	16.68
A5	Sample 5	30.31				18.74	21.06	21.15	21.33	12.98	13.13	17.97	17.89	21.1	20.93	17.6	17.8
A6	Sample 6	28.08				31.72	30.89	17.47	17.64	28.18	27.59	17.45	17.28	17.14	17.17	17.73	17.76
A7	Sample 7	19.75				27.8	31.52		22.34	28.49	29.08	17.5	17.02	17.09	17.27	17.7	18.08
A8	Sample 8	19.89				30.84	30.24	21.26	21.47	20	20.16	21.89	21.77	16.97	16.89	22.01	22.88
A9	Sample 9	21.96				30.02	29.78	34.1	35	19.29	19.51	18.69	19.24	19.01	17.61	20.62	20.89
A10	Sample 10	22.71															
A11	Sample 11	16.86															
A12	Sample 12	16.8															
B1	Sample 13	32.99															
B2	Sample 14	30.53															
B3	Sample 15	16.64				sample 	GFP1	GFP2	BFP1	BFP2	RTL1	RTL2					
B4	Sample 16	16.74				1'	28.08	30.7	30.31	28.08	21.96	22.71					
B5	Sample 17	19.52				2'	32.99	30.53	19.52	19.23	17.63	17.54					
B6	Sample 18	19.23				3'	19.35	19.25	21.76	21.93	19.75	19.82					
B7	Sample 19	20.36				4'	18.74	21.06	12.98	13.13	21.1	20.93					
B8	Sample 20	20.18				1	31.72	30.89	28.18	27.59	17.14	17.17					
B9	Sample 21	17.63				2	27.8	31.52	28.49	29.08	17.09	17.27					
B10	Sample 22	17.54				3	30.84	30.24	20	20.16	16.97	16.89					
B11	Sample 23	17.69				4	30.02	29.78	19.29	19.51	19.01	17.61					
B12	Sample 24	17.67				5	15.84	15.81	19.75	19.89	16.86	16.8					
C1	Sample 25	19.35				6	16.64	16.74	20.36	20.18	17.69	17.67					
C2	Sample 26	19.25				7	26.78	26.05	17.44	17.49	16.72	16.68					
C3	Sample 27	26.78				8	21.15	21.33	17.97	17.89	17.6	17.8					
C4	Sample 28	26.05				9	17.47	17.64	17.45	17.28	17.73	17.76					
C5	Sample 29	21.76				10		22.34	17.5	17.02	17.7	18.08					
C6	Sample 30	21.93				11	21.26	21.47	21.89	21.77	22.01	22.88					
C7	Sample 31	17.44				12	34.1	35	18.69	19.24	20.62	20.89					
C8	Sample 32	17.49															
C9	Sample 33	19.75															
C10	Sample 34	19.82															
C11	Sample 35	16.72															
C12	Sample 36	16.68															
D1	Sample 37	18.74					GFP	BFP	RTL								
D2	Sample 38	21.06				1'	29.39	29.195	22.335								
D3	Sample 39	21.15				2'	31.76	19.375	17.585								
D4	Sample 40	21.33				3'	19.3	21.845	19.785								
D5	Sample 41	12.98				4'	19.9	13.055	21.015								
D6	Sample 42	13.13				1	31.305	27.885	17.155								
D7	Sample 43	17.97				2	29.66	28.785	17.18								
D8	Sample 44	17.89				3	30.54	20.08	16.93								
D9	Sample 45	21.1				4	29.9	19.4	18.31								
D10	Sample 46	20.93				5	15.825	19.82	16.83								
D11	Sample 47	17.6				6	16.69	20.27	17.68								
D12	Sample 48	17.8				7	26.415	17.465	16.7								
E1	Sample 49	31.72				8	21.24	17.93	17.7								
E2	Sample 50	30.89				9	17.555	17.365	17.745								
E3	Sample 51	17.47				10	22.34	17.26	17.89								
E4	Sample 52	17.64				11	21.365	21.83	22.445								
E5	Sample 53	28.18				12	34.55	18.965	20.755								
E6	Sample 54	27.59															
E7	Sample 55	17.45															
E8	Sample 56	17.28					GFP	BFP									
E9	Sample 57	17.14				1'	0.007520269	0.008608634									
E10	Sample 58	17.17				2'	5.4063E-05	0.289172046									
E11	Sample 59	17.73				3'	1.399585866	0.23981603									
E12	Sample 60	17.76				4'	2.165950091	248.9996665									
F1	Sample 61	27.8				1	5.5008E-05	0.000588773									
F2	Sample 62	31.52				2	0.000175043	0.000321031									
F3	Sample 63					3	7.99801E-05	0.112656308									
F4	Sample 64	22.34				4	0.000324386	0.469761375									
F5	Sample 65	28.49				5	2.006943497	0.125869444									
F6	Sample 66	29.08				6	1.986184991	0.166085727									
F7	Sample 67	17.5				7	0.001189854	0.588453369									
F8	Sample 68	17.02				8	0.085971364	0.852634892									
F9	Sample 69	17.09				9	1.140763716	1.301341855									
F10	Sample 70	17.27				10	0.045752678	1.547564994									
F11	Sample 71	17.7				11	2.114036081	1.531557997									
F12	Sample 72	18.08				12	7.03544E-05	3.458148925									
G1	Sample 73	30.84															
G2	Sample 74	30.24															
G3	Sample 75	21.26															
G4	Sample 76	21.47															
G5	Sample 77	20															
G6	Sample 78	20.16															
G7	Sample 79	21.89															
G8	Sample 80	21.77															
G9	Sample 81	16.97															
G10	Sample 82	16.89															
G11	Sample 83	22.01															
G12	Sample 84	22.88															
H1	Sample 85	30.02															
H2	Sample 86	29.78															
H3	Sample 87	34.1															
H4	Sample 88	35															
H5	Sample 89	19.29															
H6	Sample 90	19.51															
H7	Sample 91	18.69															
H8	Sample 92	19.24															
H9	Sample 93	19.01															
H10	Sample 94	17.61															
H11	Sample 95	20.62															
H12	Sample 96	20.89															
